#k	29
#unique_kmers	148368685
#error_kmers	99870177
#genomic_kmers	48498508
#main_peak	25
#genome_size_in_peaks	119675669
#genome_size	133073196
#haploid_genome_size	133073196
#fold_coverage	25
#haploid_fold_coverage	25
#ploidy	1
#percent_repeat_in_peaks	59.775
#percent_repeat	62.874
#start	center	stop	max	volume
10	25	63	3012410	45692036
68	74	94	27787	595246
94	100	102	17764	138753
102	104	107	16896	82125
107	108	198	15800	876785
198	200	500	5417	555585
4055	7907	7974	112	122448
7974	8041	8042	107	5851
8042	8043	8046	95	362
8046	8051	8052	105	529
8052	8053	8056	100	347
8056	8059	8061	98	461
8061	8063	8086	106	2113
8090	8110	20233	114	66529
