#k	29
#unique_kmers	106969683
#error_kmers	59301941
#genomic_kmers	47667742
#main_peak	25
#genome_size_in_peaks	60801572
#genome_size	77478724
#haploid_genome_size	77478724
#fold_coverage	25
#haploid_fold_coverage	25
#ploidy	1
#percent_repeat_in_peaks	21.927
#percent_repeat	37.345
#start	center	stop	max	volume
10	25	63	3005537	45116653
68	74	93	26940	559799
93	101	102	17693	152985
102	104	105	16446	49013
105	108	122	15684	247013
122	123	197	13309	635083
197	200	208	5400	57423
208	209	413	5175	435569
413	414	468	778	35944
468	469	580	587	47335
580	683	684	344	31315
684	685	1712	314	101267
