#k	29
#unique_kmers	806496491
#error_kmers	755754515
#genomic_kmers	50741976
#main_peak	46
#genome_size_in_peaks	136739397
#genome_size	149446074
#haploid_genome_size	149446074
#fold_coverage	46
#haploid_fold_coverage	46
#ploidy	1
#percent_repeat_in_peaks	63.141
#percent_repeat	65.579
#start	center	stop	max	volume
20	46	81	1901997	46706879
81	87	123	46617	1298146
123	132	176	16407	697648
176	179	180	10190	40149
180	186	187	9745	67744
187	188	252	9567	507879
252	254	635	6361	898682
9502	18744	18746	44	105154
18746	18747	18752	35	148
18752	18754	18755	33	91
18755	18757	18758	26	73
18758	18760	20064	40	29145
20066	21353	53279	41	48862
