#k	29
#unique_kmers	519436058
#error_kmers	471270134
#genomic_kmers	48165924
#main_peak	46
#genome_size_in_peaks	61423509
#genome_size	78089279
#haploid_genome_size	78089279
#fold_coverage	46
#haploid_fold_coverage	46
#ploidy	1
#percent_repeat_in_peaks	21.792
#percent_repeat	37.507
#start	center	stop	max	volume
18	46	80	1880628	44465840
80	89	122	42606	1223029
122	133	134	15280	180575
134	135	175	14382	483990
175	184	185	9835	95241
187	188	192	9241	45707
192	193	206	8941	119830
208	209	251	8199	304034
251	254	451	6179	676425
451	452	814	1697	280779
814	815	839	307	6711
839	861	2153	290	156184
