#k	29
#unique_kmers	169243598
#error_kmers	120853228
#genomic_kmers	48390370
#main_peak	35
#genome_size_in_peaks	111479077
#genome_size	126672322
#haploid_genome_size	126672322
#fold_coverage	35
#haploid_fold_coverage	35
#ploidy	1
#percent_repeat_in_peaks	57.047
#percent_repeat	61.309
#start	center	stop	max	volume
14	35	61	2427000	44315102
61	70	92	58170	1291798
92	104	124	20457	576787
124	141	353	14068	1495931
4875	9609	9610	104	115565
9610	9697	9740	96	9521
9740	9793	9796	94	4277
9796	9803	9806	91	783
9806	9807	9811	92	356
9811	9814	9817	93	456
9817	9820	9822	87	378
9822	9823	9825	78	217
9825	9827	9831	83	432
9831	9833	9879	95	3699
9879	9928	24817	103	68579
