#k	29
#unique_kmers	117770664
#error_kmers	69996783
#genomic_kmers	47773881
#main_peak	35
#genome_size_in_peaks	62504351
#genome_size	77843867
#haploid_genome_size	77843867
#fold_coverage	35
#haploid_fold_coverage	35
#ploidy	1
#percent_repeat_in_peaks	23.705
#percent_repeat	37.858
#start	center	stop	max	volume
14	35	61	2422554	43978958
61	69	92	56928	1257740
92	104	124	19858	561519
124	140	192	13840	740579
192	193	210	7710	130305
210	211	230	6899	129501
230	231	578	6205	698203
638	642	643	431	2040
643	644	712	444	25527
712	713	855	349	35497
855	1005	1009	267	31096
1009	1014	2531	232	96857
