#k	29
#unique_kmers	171927023
#error_kmers	124552965
#genomic_kmers	47374058
#main_peak	35
#genome_size_in_peaks	90506347
#genome_size	104109409
#haploid_genome_size	104109409
#fold_coverage	35
#haploid_fold_coverage	35
#ploidy	1
#percent_repeat_in_peaks	47.854
#percent_repeat	53.749
#start	center	stop	max	volume
14	35	65	1916313	43570943
65	72	98	50135	1169504
98	110	111	18568	235248
111	112	133	17830	328157
133	148	175	12476	461352
175	178	227	9035	387589
227	228	570	5964	766871
654	655	666	423	4539
666	667	669	395	1122
669	670	679	388	3588
679	680	682	388	1128
682	683	1704	390	151386
5015	9346	23363	44	114344
