#k	29
#unique_kmers	132565424
#error_kmers	85806503
#genomic_kmers	46758921
#main_peak	35
#genome_size_in_peaks	59403398
#genome_size	76372441
#haploid_genome_size	76372441
#fold_coverage	35
#haploid_fold_coverage	35
#ploidy	1
#percent_repeat_in_peaks	21.488
#percent_repeat	37.778
#start	center	stop	max	volume
14	35	65	1914209	43207832
65	72	98	49235	1145756
98	110	111	18170	230753
111	112	133	17419	321525
133	147	174	12362	444750
174	179	187	8945	111016
187	188	227	8270	279515
227	228	570	5901	752802
679	681	683	378	1427
683	684	687	355	1399
687	688	785	375	27447
785	792	1972	265	114866
