#k	29
#unique_kmers	136673202
#error_kmers	88454792
#genomic_kmers	48218410
#main_peak	25
#genome_size_in_peaks	113138422
#genome_size	137348338
#haploid_genome_size	137348338
#fold_coverage	25
#haploid_fold_coverage	25
#ploidy	1
#percent_repeat_in_peaks	59.688
#percent_repeat	63.707
#start	center	stop	max	volume
10	25	63	2454847	45411507
4088	8150	8328	80	102078
8328	8506	8507	82	11124
8507	8510	8512	73	312
8514	8515	8517	77	191
8517	8519	8523	68	382
8523	8526	8527	62	231
8527	8529	8545	74	1164
8545	8557	8559	79	897
8559	8566	8567	66	477
8567	8568	8571	68	256
8573	8576	8579	79	382
8579	8581	8738	86	9899
8738	8894	9007	75	14601
9007	9014	9151	73	7424
9151	9152	9432	68	13082
9432	9469	23673	63	34669
