#k	29
#unique_kmers	95794995
#error_kmers	48461354
#genomic_kmers	47333641
#main_peak	25
#genome_size_in_peaks	55619205
#genome_size	77138752
#haploid_genome_size	77138752
#fold_coverage	25
#haploid_fold_coverage	25
#ploidy	1
#percent_repeat_in_peaks	16.923
#percent_repeat	36.571
#start	center	stop	max	volume
10	25	63	2449990	44783330
94	96	240	18976	1250130
509	510	517	397	2887
517	518	522	376	1719
522	523	531	351	3053
531	533	562	387	10527
562	563	567	324	1523
567	568	579	328	3468
579	580	644	329	17546
644	704	705	283	14717
709	712	714	257	1202
714	716	732	270	4261
732	742	821	254	17832
821	898	964	221	22154
966	1050	2625	159	72290
