Accession	atp6	nad1	nad2	nad3	nad4	nad4L	nad5	nad6	cox1	cox2	cox3	cob	TaxID	Organism	Description	Length	Phylum	Class	Order	Family	Genus
MT880588.1	QQY98154.1	QQY98159.1	QQY98158.1	QQY98155.1	QQY98162.1	QQY98150.1	QQY98161.1	QQY98160.1	QQY98153.1	QQY98151.1	QQY98152.1	QQY98156.1	52586	Erysiphe necator	Erysiphe necator strain C mitochondrion, complete genome	188577	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe
NC_025200.1	YP_009072362.1	YP_009072356.1	YP_009072371.1	YP_009072378.1	YP_009072344.1	YP_009072393.1	YP_009072394.1	YP_009072400.1	YP_009072327.1	YP_009072381.1	YP_009072402.1	YP_009072347.1	77105	Sclerotinia borealis	Sclerotinia borealis strain F-4128 mitochondrion, complete genome	203051	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia
MK111108.1	QDG01220.1	QDG01214.1	QDG01239.1	QDG01241.1	QDG01215.1	QDG01249.2	QDG01254.1	QDG01223.1	QDG01210.1	QDG01246.1	QDG01225.1	QDG01260.1	1715249	Scytalidium sp.	Scytalidium sp. isolate chengchen mitochondrion, complete genome	96857	Ascomycota	Leotiomycetes	Scytalidium		
KC832409.1	AGN49024.1	AGN49020.1	AGN49027.1	AGN49029.1	AGN49012.1	AGN48994.1	AGN48996.1	AGN48998.1	AGN49004.1	AGN49030.1	AGN48999.1	AGN49013.1	332648	Botrytis cinerea B05.10	Botryotinia fuckeliana B05.10 mitochondrion, complete genome	82212	Ascomycota	Leotiomycetes	HelotialesSclerotiniaceae	Botrytis
NC_023126.1	YP_008965364.1	YP_008965360.1	YP_008965368.1	YP_008965369.1	YP_008965361.1	YP_008965376.1	YP_008965377.1	YP_008965365.1	YP_008965340.1	YP_008965371.1	YP_008965366.1	YP_008965385.1	914237	Rhynchosporium commune	Rhynchosporium commune mitochondrion, complete genome	69581	Ascomycota	Leotiomycetes	Helotiales	Rhynchosporium	
NC_023125.1	YP_008965316.1	YP_008965312.1	YP_008965321.1	YP_008965322.1	YP_008965313.1	YP_008965329.1	YP_008965330.1	YP_008965317.1	YP_008965293.1	YP_008965324.1	YP_008965318.1	YP_008965339.1	914238	Rhynchosporium agropyri	Rhynchosporium agropyri mitochondrion, complete genome	68904	Ascomycota	Leotiomycetes	Helotiales	Rhynchosporium	
NC_023128.1	YP_008965437.1	YP_008965433.1	YP_008965442.1	YP_008965443.1	YP_008965434.1	YP_008965450.1	YP_008965451.1	YP_008965438.1	YP_008965413.1	YP_008965445.1	YP_008965439.1	YP_008965459.1	38038	Rhynchosporium secalis	Rhynchosporium secalis mitochondrion, complete genome	68729	Ascomycota	Leotiomycetes	Helotiales	Rhynchosporium	
NC_023127.1	YP_008965396.1	YP_008965393.1	YP_008965402.1	YP_008965403.1	YP_008965394.1	YP_008965409.1	YP_008965410.1	YP_008965397.1	YP_008965386.1	YP_008965405.1	YP_008965398.1	YP_008965412.1	210010	Rhynchosporium orthosporum	Rhynchosporium orthosporum mitochondrion, complete genome	49539	Ascomycota	Leotiomycetes	Helotiales	Rhynchosporium	
NC_031375.1	YP_009306754.1	YP_009306755.1	YP_009306751.1	YP_009306752.1	YP_009306735.1	YP_009306746.1	YP_009306747.1	YP_009306736.1	YP_009306749.1	YP_009306756.1	YP_009306737.1	YP_009306742.1	101852	Glarea lozoyensis	Glarea lozoyensis strain ATCC 20868 culture-collection ATCC:20868 mitochondrion, complete genome	45501	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea
NC_015789.1	YP_004733041.1	YP_004733038.1	YP_004733047.1	YP_004733048.1	YP_004733039.1	YP_004733052.1	YP_004733053.1	YP_004733043.1	YP_004733034.1	YP_004733049.1	YP_004733044.1	YP_004733054.1	576137	Phialocephala subalpina	Phialocephala subalpina mitochondrion, complete genome	43742	Ascomycota	Leotiomycetes	Helotiales	Phialocephala	
